full_name,price_thb,description,make,engine_cc,horsepower_hp,gears,fuel_type,engine,brakes,drive,year,series,type
,,,,,,,,,,,,,
ฟอร์ด Ford Ranger MS-RT ปี 2024,"1,749,000 บาท",Ford Ranger MS-RT สุดยอดรถกระบะสไตล์เรซซิ่งที่ได้รับแรงบันดาลใจจากมอเตอร์สปอร์ต สำหรับคนที่ชื่นชอบความเร้าใจ และมองหาตัวเลือกที่ไม่เหมือนใคร โดดเด่นด้วยรูปโฉม และสมรรถนะที่แตกต่างในตลาดรถกระบะระดับพรีเมี่ยม มอบประสบการณ์ที่มากกว่ารถกระบะด้วยรถที่สะท้อนตัวตนอันเป็นเอกลักษณ์ของผู้ขับขี่ และดึงดูดความสนใจจากคนรอบข้างในทุกการเดินทาง ใช้เครื่องยนต์ดีเซล 3.0 ลิตร วี 6 มีความเสถียรและทนทาน เหมาะสำหรับผู้ที่ต้องการกำลังและแรงบิดมากขึ้นจากรุ่นปกติ ทำงานร่วมกับเกียร์อัตโนมัติ 10 สปีด แบบ E-Shifter,Ford,2956,250,เกียร์อัตโนมัติ 10AT,"ดีเซล , ไบโอดีเซล B5",เครื่องยนต์ 3.0 ลิตร V6 เทอร์โบคู่ กำลังสูงสุด 250 แรงม้า แรงบิดสูงสุด 600 นิวตันเมตร,มี (และระบบกระจายแรงเบรก EBD),ขับเคลื่อนสี่ล้อ (อัตโนมัติ 4A 4WD),2024,Ranger MS-RT,Pickup
ฟอร์ด Ford Ranger Double Cab Wildtrak 3.0L V6 Turbo 4WD 10AT ปี 2024,"1,534,000 บาท",Ford Double Cab Wildtrak V6 4X4 10AT รถกระบะรุ่นย่อยใหม่ล่าสุดที่ตอกย้ำบทบาทของฟอร์ดในการสร้างปรากฏการณ์ใหม่และนำเทคโนโลยีที่ทันสมัยมามอบให้กับผู้ขับขี่ชาวไทยอยู่เสมอ ด้วยการนำเสนอขุมพลังใหม่ เครื่องยนต์ดีเซล 3.0 ลิตร วี 6 สำหรับลูกค้าที่มองหาทางเลือกในการใช้รถที่มีสมรรถนะในการขับขี่ขั้นสูง ตอบโจทย์การใช้งานและไลฟ์สไตล์ได้หลากหลายรูปแบบยิ่งขึ้น ไม่ว่าจะเป็นการทำงาน การใช้ชีวิตกับครอบครัว หรือการเดินทางท่องเที่ยวพักผ่อน พร้อมเป็นรถคู่ใจในทุกเส้นทางของชีวิต,Ford,2956,250,เกียร์อัตโนมัติ 10AT,"ดีเซล , ไบโอดีเซล B5",เครื่องยนต์ 3.0 ลิตร V6 เทอร์โบคู่ กำลังสูงสุด 250 แรงม้า แรงบิดสูงสุด 600 นิวตันเมตร,มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนสี่ล้อ (อัตโนมัติ 4A 4WD),2024,Ranger Double Cab Wildtrak 3.0L V6 Turbo 4WD 10AT,Pickup
ฟอร์ด Ford Ranger Double Cab XLS 2.0L Turbo HR 6AT ปี 2024,"799,000 บาท","Next-Gen Ranger Double Cab XLS 2.0L Turbo HR 6AT กระบะยกสูงเกียร์อัตโนมัติรุ่นเริ่มต้นในตระกูล เรนเจอร์ รุ่นปี 2024 ปรับดีไซน์ภายนอกให้ดูดุดันยิ่งขึ้น เพิ่มความหรูหราสะดวกสบายภายในห้องโดยสาร สร้างความคุ้มค่าสูงสุดสำหรับลูกค้าที่มองหากระบะอเนกประสงค์ที่ตอบโจทย์การใช้งานรอบด้าน ทั้งใช้เพื่อการทำงาน เป็นรถสำหรับครอบครัว และการเดินทางท่องเที่ยวพักผ่อน ด้วยราคาพิเศษช่วงเปิดตัวสำหรับรุ่น 4 ประตูเพียง 799,000 บาท ",Ford,1996,170,เกียร์ออโต้ 6AT,"ดีเซล , ไบโอดีเซล B5 , ไบโอดีเซล B20","ดีเซล 2.0 ลิตร 4 สูบแถวเรียง 16 วาล์ว เทอร์โบชาร์จเจอร์พร้อมอินเตอร์ คูลเลอร์ 170 แรงม้า ที่ 3,500 รอบต่อนาที แรงบิด 405 นิวตันเมตร ที่ 1,750-2,500 รอบต่อนาที",มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหลัง,2024,Ranger Double Cab XLS 2.0L Turbo HR 6AT,Pickup
ฟอร์ด Ford Ranger Double Cab 2.0L Bi-Turbo Raptor 4x4 10AT ปี 2023,"1,804,000 บาท",Next-Generation Ranger RAPTOR รถกระบะออฟโรดสมรรถนะสูงอันทรงพลัง อัดแน่นด้วยดีเอ็นเอฟอร์ด เพอร์ฟอร์มานซ์ มาพร้อมตัวเลือกเครื่องยนต์ดีเซล 2.0 ลิตร ให้ลูกค้าคอออฟโรดตัวจริงมีอิสระในการได้สัมผัสสุดยอดรถกระบะที่โดดเด่นทั้งในด้านการออกแบบที่ดุดันและอุปกรณ์เทคโนโลยีทันสมัย ไม่ว่จะเป็น ระบบเกียร์ไฟฟ้า (E-Shifter) กล้องมองรอบคัน 360 องศา เบรกมือไฟฟ้า เทคโนโลยีช่วยการขับขี่ขั้นสูง ไฟหน้าแบบเมทริก แอลอีดี ไฟท้ายแอลอีดี หน้าจอแสดงผลบนหน้าปัดขนาด 12.4 นิ้ว หน้าจอควบคุมการสั่งงานแบบสัมผัสขนาด 12 นิ้ว แท่นชาร์จแบบไร้สาย และระบบเชื่อมต่อการสื่อสารผ่าน FordPass,Ford,1996,210,เกียร์อัตโนมัติ 10AT,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91",เครื่องยนต์ 2 .0 ลิตร เทอร์โบคู่,มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนสี่ล้อ (4A-4WD),2023,Ranger Double Cab 2.0L Bi-Turbo Raptor 4x4 10AT,Pickup
ฟอร์ด Ford Ranger Double Cab Ranger Stormtrak 2.0L Bi-Turbo HR 4x4 10AT ปี 2023,"1,429,000 บาท","Double Cab Ranger Stormtrak 2.0L Bi-Turbo HR 4x4 10AT รถกระบะรุ่นย่อยใหม่ล่าสุดที่ตอกย้ำบทบาทของฟอร์ดในการสร้างตำนานบทใหม่ให้กับตลาดรถกระบะไทยอีกครั้ง ด้วยการนำเสนอนวัตกรรมและเทคโนโลยีใหม่ล่าสุดที่ยังไม่เคยมีมาก่อน ยกระดับการเป็นรถกระบะที่ตอบโจทย์ไลฟ์สไตล์ของคนที่ชอบความท้าทายไปอีกขั้น ทรงพลังด้วยเครื่องยนต์ดีเซล 2.0 ลิตร เทอร์โบคู่ มอบพละกำลังสูงสุด 210 แรงม้า และแรงบิด 500 นิวตันเมตร พร้อมตัวเลือกระบบขับเคลื่อนแบบ 4x4 และ 4x2 ทำงานร่วมกับเกียร์อัตโนมัติ 10 สปีด แบบ E-Shifter พร้อมเทคโนโลยีระบบช่วยจอดอัจฉริยะ (Fully Automated Park Assist) เป็นครั้งแรกในตลาดรถกระบะ (นอกจากฟอร์ด เรนเจอร์ แร็พเตอร์ รถกระบะในตระกูลฟอร์ดเพอร์ฟอร์มานซ์) 
*ลูกค้าสามารถเลือกติดตั้ง ฝาปิดกระบะท้ายควบคุมด้วยไฟฟ้า (Power Roller Shutter) จากโรงงานเพิ่มเติมได้",Ford,1996,210,เกียร์อัตโนมัติ 10AT,"ดีเซล , ไบโอดีเซล B5",ดีเซล 2.0 ลิตร 4 สูบแถวเรียง 16 วาล์ว เทอร์โบชาร์จเจอร์คู่พร้อมอินเตอร์ คูลเลอร์,มี (พร้อมระบบกระจายแรงเบรค EBD),"ขับเคลื่อนสี่ล้อ (พร้อมดิฟล็อกหลังแบบไฟฟ้า, ระบบเลือกโหมดการขับขี่ 6 โหมด แบบหมุน)",2023,Ranger Double Cab Ranger Stormtrak 2.0L Bi-Turbo HR 4x4 10AT,Pickup
ฟอร์ด Ford Ranger Double Cab Ranger Stormtrak 2.0L Bi-Turbo HR 10AT ปี 2023,"1,294,000 บาท",Double Cab Ranger Stormtrak 2.0L Bi-Turbo HR 10AT รถกระบะรุ่นย่อยใหม่ล่าสุดที่ตอกย้ำบทบาทของฟอร์ดในการสร้างตำนานบทใหม่ให้กับตลาดรถกระบะไทยอีกครั้ง ด้วยการนำเสนอนวัตกรรมและเทคโนโลยีใหม่ล่าสุดที่ยังไม่เคยมีมาก่อน ยกระดับการเป็นรถกระบะที่ตอบโจทย์ไลฟ์สไตล์ของคนที่ชอบความท้าทายไปอีกขั้น ทรงพลังด้วยเครื่องยนต์ดีเซล 2.0 ลิตร เทอร์โบคู่ มอบพละกำลังสูงสุด 210 แรงม้า และแรงบิด 500 นิวตันเมตร พร้อมตัวเลือกระบบขับเคลื่อนแบบ 4x4 และ 4x2 ทำงานร่วมกับเกียร์อัตโนมัติ 10 สปีด แบบ E-Shifter พร้อมเทคโนโลยีระบบช่วยจอดอัจฉริยะ (Fully Automated Park Assist) เป็นครั้งแรกในตลาดรถกระบะ (นอกจากฟอร์ด เรนเจอร์ แร็พเตอร์ รถกระบะในตระกูลฟอร์ดเพอร์ฟอร์มานซ์) *ลูกค้าสามารถเลือกติดตั้ง ฝาปิดกระบะท้ายควบคุมด้วยไฟฟ้า (Power Roller Shutter) จากโรงงานเพิ่มเติมได้,Ford,1996,210,เกียร์อัตโนมัติ 10AT,"ดีเซล , ไบโอดีเซล B5",ดีเซล 2.0 ลิตร 4 สูบแถวเรียง 16 วาล์ว เทอร์โบชาร์จเจอร์คู่พร้อมอินเตอร์ คูลเลอร์,มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหลัง,2023,Ranger Double Cab Ranger Stormtrak 2.0L Bi-Turbo HR 10AT,Pickup
ฟอร์ด Ford Ranger Double Cab XLS 2.0L Turbo HR 6AT ปี 2023,"924,000 บาท",Next-Gen Ranger Double Cab XLS 2.0L Turbo HR 6AT ตอบโจทย์การใช้งานแบบอเนกประสงค์สำหรับกลุ่มลูกค้าเจ้าของธุรกิจขนาดย่อม ชูความแข็งแกร่งของตัวถังและช่วงล่าง ผสานเทคโนโลยีทันสมัย และระบบความปลอดภัยครบครัน โดดเด่นด้วยรูปลักษณ์ภายนอกที่ดุดัน สมรรถนะที่ทรงพลังและเปี่ยมประสิทธิภาพ เกียร์อัตโนมัติ 6 สปีด เพิ่มความสะดวกสบายในการขับขี่ นำเสนอในราคาสุดคุ้ม พร้อมเป็นผู้ช่วยให้ทุกงานสำเร็จได้ง่ายขึ้น รุ่น XLS  มีให้เลือกทั้งแบบ 4 ประตู และแบบตอนครึ่ง ติดตั้งขุมพลังเครื่องยนต์ดีเซล 2.0 ลิตร เทอร์โบเดี่ยว และเกียร์อัตโนมัติ 6 สปีด ให้พละกำลังสูงสุด 170 แรงม้า แรงบิด 405 นิวตันเมตร พร้อมตอบโจทย์ความต้องการในการทำงานอย่างตรงจุด,Ford,1996,170,เกียร์ออโต้ 6AT,"ดีเซล , ไบโอดีเซล B5 , ไบโอดีเซล B20","ดีเซล 2.0 ลิตร 4 สูบแถวเรียง 16 วาล์ว เทอร์โบชาร์จเจอร์พร้อมอินเตอร์ คูลเลอร์ 170 แรงม้า ที่ 3,500 รอบต่อนาที แรงบิด 405 นิวตันเมตร ที่ 1,750-2,500 รอบต่อนาที",มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหลัง,2023,Ranger Double Cab XLS 2.0L Turbo HR 6AT,Pickup
ฟอร์ด Ford Ranger Open Cab XLS 2.0L Turbo HR 6AT ปี 2023,"814,000 บาท","Next-Gen Ranger Open Cab XLS 2.0L Turbo HR 6AT ตอบโจทย์การใช้งานแบบอเนกประสงค์สำหรับกลุ่มลูกค้าเจ้าของธุรกิจขนาดย่อม ชูความแข็งแกร่งของตัวถังและช่วงล่าง ผสานเทคโนโลยีทันสมัย และระบบความปลอดภัยครบครัน โดดเด่นด้วยรูปลักษณ์ภายนอกที่ดุดัน สมรรถนะที่ทรงพลังและเปี่ยมประสิทธิภาพ เกียร์อัตโนมัติ 6 สปีด เพิ่มความสะดวกสบายในการขับขี่ นำเสนอในราคาสุดคุ้ม พร้อมเป็นผู้ช่วยให้ทุกงานสำเร็จได้ง่ายขึ้น รุ่น XLS  มีให้เลือกทั้งแบบ 4 ประตู และแบบตอนครึ่ง ติดตั้งขุมพลังเครื่องยนต์ดีเซล 2.0 ลิตร เทอร์โบเดี่ยว และเกียร์อัตโนมัติ 6 สปีด ให้พละกำลังสูงสุด 170 แรงม้า แรงบิด 405 นิวตันเมตร พร้อมตอบโจทย์ความต้องการในการทำงานอย่างตรงจุด ราคาพิเศษ 699,000 บาท จากราคาเต็ม 809,000 บาท  ระหว่างวันที่ 1 พฤศจิกายน ถึง 31 ธันวาคม 2567",Ford,1996,170,เกียร์ออโต้ 6AT,"ดีเซล , ไบโอดีเซล B5 , ไบโอดีเซล B20","ดีเซล 2.0 ลิตร 4 สูบแถวเรียง 16 วาล์ว เทอร์โบชาร์จเจอร์พร้อมอินเตอร์ คูลเลอร์ 170 แรงม้า ที่ 3,500 รอบต่อนาที แรงบิด 405 นิวตันเมตร ที่ 1,750-2,500 รอบต่อนาที",มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนล้อหลัง,2023,Ranger Open Cab XLS 2.0L Turbo HR 6AT,Pickup
ฟอร์ด Ford Ranger Double Cab 3.0L V6 EcoBoost Raptor 4X4 10AT ปี 2022,"1,954,000 บาท",Next-Generation Ranger RAPTOR สุดยอดสมรรถนะจากเครื่องยนต์เบนซิน 3.0 ลิตร EcoBoost V6 เทอร์โบคู่ มอบพละกำลังถึง 397 แรงม้า และแรงบิด 583 นิวตันเมตร สู่สมรรถนะเหนือระดับทั้งบนทางเรียบและเส้นทางออฟโรด ระบบท่อไอเสียแบบแปรผันควบคุมไฟฟ้าครั้งแรกในรถกระบะ ให้ผู้ขับขี่ปรับเสียงเครื่องยนต์ตั้งแต่โหมดนุ่มนวลไปจนถึงเสียงกระหึ่มเร้าอารมณ์ พร้อมลุยทุกสภาพพื้นผิวด้วยโหมดการขับขี่ 7 โหมด และระบบช่วงล่างที่ปรับแต่งใหม่ด้วยโช้คอัพ FOX แบบไลฟ์ วาล์ว Internal Bypass ขนาด 2.5 นิ้ว ที่พัฒนาโดยทีมฟอร์ด เพอร์ฟอร์แมนซ์ ตะลุยออฟโรดได้ดียิ่งกว่าเดิม ด้วยระบบขับเคลื่อน 4 ล้อตลอดเวลา ด้วยเกียร์ทรานสเฟอร์ควบคุมไฟฟ้าใหม่ล่าสุดที่ปรับได้ตามต้องการ และระบบดิฟล็อก 4 ล้อครั้งแรก,Ford,2956,397,เกียร์อัตโนมัติ 10AT,"เบนซิน 95 , เบนซิน 91 , แก๊สโซฮอล์ 95 (E10) , แก๊สโซฮอล์ 91",เครื่องยนต์ 3.0 ลิตร V6 EcoBoost เทอร์โบคู่,มี (พร้อมระบบกระจายแรงเบรค EBD),ขับเคลื่อนสี่ล้อ (4A-4WD พร้อมปรับรูปแบบการขับขี่ได้ 7 โหมด),2022,Ranger Double Cab 3.0L V6 EcoBoost Raptor 4X4 10AT,Pickup
